Eleccion,Pacto,Votacion,Perc
2024,FRENTE AMPLIO,70832,11.450000000000001
2023,UNIDAD PARA CHILE,87483,16.37
2021,FRENTE AMPLIO,33663,9.66
2017,FRENTE AMPLIO,19783,5.94
